student_id,attendance_pct,internal_test1,internal_test2,assignments_avg,participation,prev_sem_gpa,test_avg,risk_score,risk_label
S001,82.45071229516849,22.630887737658206,25.0,16.33508322849991,3,7.659908680633533,23.815443868829103,82.72674942322776,0
S002,72.92603548243223,25.0,23.698534731651076,12.3464428510144,3,5.4009359483877475,24.34926736582554,74.50607324734018,1
S003,84.71532807151038,11.007162130904295,20.238521479680696,11.545403349733078,3,8.430335275554507,15.622841805292495,68.32250464039052,1
S004,97.84544784612038,20.814846183452854,17.412252889177704,13.989876627767144,4,5.825599528496645,19.11354953631528,75.49884214703525,1
S005,71.48769937914996,14.746787154390866,22.79289325445436,13.489446132425215,5,4.811191456296303,18.769840204422614,71.8374939479656,0
S006,71.4879456457623,15.56437308117652,21.573941541687,12.640315852018174,5,7.147444019831047,18.56915731143176,74.9895824213807,1
S007,98.68819223261087,15.038030378805654,23.580772880110928,16.089162342370145,2,7.6735134039557815,19.309401629458293,75.514455494239,0
S008,86.51152093729362,13.68004615160092,22.540687206727878,16.865915625711533,5,8.08977007641833,18.1103666791644,81.93145114991121,0
S009,67.95788421097572,18.242608139724133,24.19821086127734,14.265220658875542,5,7.706418838819024,21.220409500500736,80.78174597311988,0
S010,83.13840065378947,13.84524941794481,17.859059153757727,18.432590243165784,3,6.2288248546587095,15.852154285851269,70.66769422039124,1
S011,68.04873460781306,19.352284128899193,25.0,10.574932657599485,3,8.355673417111925,22.176142064449596,74.41811896054224,0
S012,68.01405369644614,17.748809452754315,20.7903984187696,13.419021622160846,2,8.652166207775695,19.269603935761957,70.5212158189407,0
S013,78.62943407349051,16.80525976566795,25.0,11.849533038191584,1,6.053085445853354,20.902629882833978,65.46804133847807,1
S014,46.30079633013303,13.462181689792011,17.243248727641728,8.40039014878082,2,7.282792633608463,15.35271520871687,54.859399261168896,1
S015,49.12623251230451,15.116143347158337,25.0,13.751957942471902,2,7.170671967469176,20.058071673579168,66.64526745134587,1
S016,66.5656870613854,21.77695612912878,20.79164313385059,13.634757474850149,4,7.764457899345641,21.284299631489688,77.41589360412638,0
S017,59.80753319498364,20.504585938121902,17.394327985542205,18.540349229726395,4,7.254091449871069,18.949456961832055,76.60395158885753,0
S018,79.71370998892911,13.112223776007244,18.064456663782714,15.892435053664332,2,7.418546673512428,15.58834021989498,66.86370487571912,0
S019,61.37963886718184,18.49666152714613,18.71861076722272,10.927439527012385,2,8.27017863629003,18.607636147184426,65.70916261298424,1
S020,53.81544447997062,21.756935616858947,21.696663785607665,19.562277699002564,2,6.16337628047864,21.726799701233304,73.1208810309357,0
S021,96.98473153382331,9.652973594393142,22.091341952142,17.66310108657606,5,8.384847762312988,15.87215777326757,81.42328655832239,0
S022,71.61335549270197,20.716800961899676,17.705199984245684,15.746293110405848,4,8.869359277837502,19.21100047307268,79.0262209496757,0
S023,76.01292307031886,14.686881205270767,19.902581630956067,13.320547703450504,2,9.460961992186641,17.294731418113418,70.16444699096938,0
S024,53.62877720679815,20.852993342965796,25.0,11.121682289829561,3,4.927959211035169,22.926496671482898,67.80202465659701,1
S025,66.83425913212226,14.183704217287415,25.0,12.883379671786841,3,7.280518011461738,19.591852108643707,70.66903744018333,0
S026,76.66383884564799,8.975589496677404,21.74529467869613,17.26624585911256,5,5.141879310775693,15.360442087686767,71.64697807725722,1
S027,57.73509633866546,9.862287810584187,20.1520139126728,19.653758917803827,5,4.577923572272612,15.007150861628492,69.62185618427233,1
S028,80.63547027518509,18.24042473330691,20.480125306873045,18.629730584816567,1,7.672911657128974,19.36027502008998,72.54576037662254,0
